职位名称,薪资,工作经验,更新时间,学历要求,岗位评分,福利,公司名称,公司规模,公司类型,岗位链接,公司链接,公司地址,职位详情
15-20K：高级程序员/软件开发/.net/C#（港资公司）,15K-20K,3-5年,2019-08-20 11:05:54,本科,11,"五险一金,年底双薪,加班补助,全勤奖,带薪年假",上海中原物业顾问有限公司,10000人以上,外商独资,https://jobs.zhaopin.com/CC133675644J00407323505.htm,https://company.zhaopin.com/CZ133675640.htm,鲁能国际中心C座18楼,"1、年龄：28-36岁；2、专业：本科以上学历,计算机或相关专业；3、知识技能：3.1、精通C#，熟练使用VS.NET 2003、VS.NET2008、VS.NET 2012、3.2、熟练使用主流数据库sqlserver 2000、sqlserver2008、mysql、oracle3.2、熟练使用主流数据库sqlserver 2000、sqlserver2008、mysql、oracle3.3、编写高效的sql脚本、视图、存储过程3.4、熟练使用div、javascript、css、html3.5、熟练使用常用代码管理工具sourcesafe、svn3.6、熟悉MVC架构3.7、熟悉项目管理的基本流程：需求、开发、测试、代码review、风险控制等环节3.8、了解工作流的基本原理、使用过K2工作软件进行开发3.9、了解人事管理软件的业务知识4、工作经验：4.1、 3年以上大型项目开发经验5、素质要求：5.1、具备良好的沟通协调能力、组织能力、表达能力、较强的执行力；5.2、良好的团队精神，工作积极主动、责任心强；5.3、能够有吃苦肯钻研的精神(一) 主要工作职责：1、负责客户需求的沟通、开发2、负责数据库的性能优化和代码优化联系方式：应聘邮箱：************************"
数据分析及开发工程师（Python）,10K-16K,1-3年,2019-08-19 09:05:37,本科,12,"五险一金,年底双薪,带薪年假",上海喜士多便利连锁有限公司,1000-9999人,民营,https://jobs.zhaopin.com/CC000584094J00315376302.htm,https://company.zhaopin.com/CZ000584090.htm,上海市静安区江场三路301号5楼,工作描述：1、根据业务单位需求完成数据收集和整理；2、配合大数据分析师完成数据处理算法和应用的开发；3、研究当前成熟的AI技术对公司业务改善的可行性；岗位要求:1、计算机相关专业，精通python编程；2、对自然语言处理有兴趣；3、可以设计编写爬虫软件收集互联网数据，最好有一定的大数据处理经验。4、熟悉关系型数据库（Oracle/MySQL）和SQL语法；5、有良好的代码编写和管理习惯，熟悉一种主流的版本控制系统（SVN/Git）；6、善与人沟通、责任心强、具有团队合作精神、具备良好的自学能力和独立思考解决问题的能力。联系方式：杨小姐 ①③⑥⑥①⑨⑧⑥⑧②⑥
Python工程师,6K-8K,不限,2019-08-20 15:54:50,大专,587,"五险一金,年底双薪,包吃,包住,带薪年假",上海集钢电子商务有限公司,100-499人,民营,https://jobs.zhaopin.com/399612635356609.htm,https://company.zhaopin.com/CZ399612630.htm,就近安排,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
Python工程师,6K-8K,不限,2019-08-20 15:58:54,大专,586,"五险一金,绩效奖金,节日福利,交通补助,年底双薪",上海怡胜信息科技有限公司,100-499人,民营,https://jobs.zhaopin.com/413814238255430.htm,https://company.zhaopin.com/CZ413814230.htm,就近安排,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
高级python开发工程师,25K-40K,5-10年,2019-08-20 17:16:40,本科,569,"五险一金,绩效奖金,全勤奖,餐补,带薪年假",上海有孚网络股份有限公司,100-499人,民营,https://jobs.zhaopin.com/CC000636993J00233315504.htm,http://special.zhaopin.com/sh/2013/11214/yovole022078,上海市杨浦区国定路323号3号楼12楼,"职位描述1.根据产品或项目的要求，参与业务分析和系统设计；2.完成编程、调试和单元测试工作；3.负责相关开发文档的编写；职位要求1.本科以上学历，计算机相关专业毕业；2个以上完整项目经验；2.有至少三年以上Python开发经验，能独立解决开发过程中遇到的各种问题；3.熟悉Django,了解HTTP协议,有Web应用程序开发经验;4.了解数据库原理,至少熟悉MySQL数据库,至少了解一种NoSQL数据库;5.熟悉Linux,对CentOS有深入了解;6.熟悉TCP/IP协议,有网络服务编程经验者优先;7.有丰富数据库使用经验者优先;8.有JAVA开发经验者优先；9.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握SVN，Git等代码版本管理工具的试用;10.良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有良好的职业操守。"
Python开发工程师,9K-15K,1-3年,2019-08-20 17:12:04,本科,560,"五险一金,餐补,通讯补助,弹性工作,高温补贴",上海云深网络技术有限公司,20-99人,民营,https://jobs.zhaopin.com/547768720250078.htm,https://company.zhaopin.com/CZ547768720.htm,上海市浦东新区盛荣路88弄盛大天地源创谷2号楼201室,[职位描述]1. 参与产品需求分析和评审；2. 负责模型设计、详细设计和接口设计与评审；3. 编码实现功能需求，修复Bug缺陷和代码评审；4. 编写自动化测试用例。[职位要求]1. 全日制大学本科及以上学历，计算机相关专业；2. 至少一年及以上Python开发经验，有良好的编程能力；3. 熟练使用SQL，熟悉PostgreSQL、MySQL等数据库；4. 熟悉pep8规范，有良好的编程风格；5. 具有良好沟通能力、学习能力和团队协作能力，责任心强，积极主动，工作细致认真，有耐心。6. 实习生岗位开放，欢迎计算机或相关专业的全日制在校同学申请。【工作待遇】公司福利： 绩效奖金、交通、通讯和餐费补贴、手机补贴、节假日补贴、团队聚餐，旅游活动、免费零食，五险一金，享受国家法定福利入职高配： Apple苹果电脑【工作地点】上海市浦东新区
初级python工程师,8K-10K,1-3年,2019-08-20 18:04:08,本科,559,"带薪年假,通讯补助,定期体检,节日福利,员工旅游",上海浦东软件园信息技术股份有限公司,20-99人,股份制企业,https://jobs.zhaopin.com/CC120720281J00198305105.htm,https://company.zhaopin.com/CZ120720280.htm,上海浦东新区祖冲之路1505弄100号3幢4C,"岗位职责:负责后端系统的开发；爬虫开发岗位要求：1、熟悉python，具有Flask的线上项目经验，有WEB开发工作经验为佳；2、熟悉使用Git进行代码版本管理；3、习惯在Linux/Unix下进行日常开发，了解Linux下的服务器级应用程序，如Nginx,MySQL/Postgresql,Redis, ES等；4、熟悉MySQL或Postgresql,熟悉使用ORM框架；5、熟悉HTTP协议，了解RESTful；6、熟悉scrapy、selenium优先考虑；了解一些自动化测试方法及工具者、了解自动化部署并有实际使用经验者优先考虑；7、具备清晰的逻辑思维能力，擅长处理业务逻辑；8、具备较强的自学能力，好奇心强，善于沟通，有团队协作意识。工作地址上海浦东新区祖冲之路1505弄100号3幢4C"
python后端工程师,10K-15K,1-3年,2019-08-20 18:04:08,本科,558,"交通补助,带薪年假,通讯补助,定期体检,节日福利",上海浦东软件园信息技术股份有限公司,20-99人,股份制企业,https://jobs.zhaopin.com/CC120720281J00206374705.htm,https://company.zhaopin.com/CZ120720280.htm,上海浦东新区祖冲之路1505弄100号3幢4C,"岗位职责:-负责后端系统的开发；岗位要求：1、3年以上WEB开发工作经验，1年以上Python开发，熟悉python并使用Flask开发过一个项目以上;2、必须熟悉使用Git进行代码版本管理;3、必须熟悉并习惯在Linux/Unix下进行日常开发，了解Linux下的服务器级应用程序，如Nginx,MySQL/Postgresql, Redis, ES等;4、熟悉MySQL或Postgresql,了解ORM，能够编写DDL，DML；5、熟悉HTTP协议，了解RESTful；6、了解自动化部署并有实际使用经验者优先考虑；7、了解一些自动化测试方法及工具，熟悉BDD/ATDD、TDD开发模式并有实际使用开发者优先考虑；8、了解敏捷开发并能够接受者优先考虑；9、具备清晰的逻辑思维能力，擅长处理业务逻辑；10、具备较强的自学能力，好奇心强，善于沟通，有团队协作意识。"
Python数据分析工程师-ADAS,13K-22K,不限,2019-08-20 11:13:26,本科,555,"五险一金,全额公积金,定期体检,餐补,周末双休",北京经纬恒润科技有限公司海淀分公司,1000-9999人,民营,https://jobs.zhaopin.com/CC443446127J00156572213.htm,https://company.zhaopin.com/CZ443446120.htm,北京市海淀区知春路7号致真大厦D座6层,岗位职责：1. 负责底层数据库配置文件以及二进制数据的解析与写入；2. 负责流式数据服务器的设计与搭建；3. 负责流式数据分析架构的设计与开发。任职要求：1. 本科及以上学历，计算机、汽车、控制或相关专业；2. 3年以上Python/C++/C开发经验，包含至少 1年以上的数据分析相关经验；3. 对MySQL及任意一个NoSQL有深入的了解；4. 做事具有条理性，具有良好的自学能力、分析问题以及解决问题的能力；5. 熟练掌握多进程/多线程技术，具有大规模分布式系统开发经验者，从事过汽车电子相关工作优先。
Python/Odoo高级开发工程师,10K-20K,1-3年,2019-08-20 16:25:26,大专,554,"五险一金,绩效奖金,年终分红,加班补助,通讯补助",上海企通软件有限公司,20-99人,民营,https://jobs.zhaopin.com/137771372250422.htm,https://company.zhaopin.com/CZ137771370.htm,上海市浦东南路2250号创智B座408室,"职位描述：1、用Python开发Odoo（OpenERP）客制化新模块；2、实现Odoo和其他系统的接口，比如电商平台、财务软件或ERP（SAP/金蝶/用友）等；3、以Odoo作为平台开发前端网站；4、负责设计文档、技术文档、用户文档、实施文档的编写；5、对前瞻技术研究，站在用户体验角度提出产品改善意见；6、负责成员技术培训及指导。岗位要求：1、3年以上Python/Odoo开发经验，精通Python编程，掌握Python的高效写法；2、熟悉Odoo框架，了解Odoo使用的基本Python库，能熟练的对Odoo (OpenERP)进行二次开发的优先考虑；3、熟悉JavaScript，熟悉Linux操作系统，熟练掌握Shell脚本语言；熟悉使用git等代码管理工具；4、熟悉PostgreSQL数据库，能熟练编写sql语句；5、有HTML 5, CSS 3前端开发经验者优先；6、具备大规模高并发访问的服务集群架构设计和开发经验者优先；7、有钻研问题并解决问题的兴趣和毅力，有团队合作精神、责任心、能接受建议，具备良好的表达和沟通能力。有较强的自学能力和技术攻关能力；8、有一定的英文水平者优先考虑."
