标题,区县,所在街道,房型,面积,朝向,月租
整租·日晖六村 1室1厅 南,徐汇,斜土路,1室1厅1卫,44㎡,南,6300元/月
整租·光华绿苑 4室1厅 南,徐汇,华泾,4室1厅2卫,114㎡,南,6400元/月
整租·卢湾城市花园 2室2厅 南,黄浦,世博滨江,2室2厅1卫,90㎡,南,10500元/月
整租·新虹桥首府(公寓) 2室2厅 东,松江,九亭,2室2厅1卫,90㎡,东,6300元/月
整租·东方城市花园(二期) 2室2厅 南,浦东,塘桥,2室2厅2卫,117㎡,南,9500元/月
整租·虹梅菁典 3室2厅 南,闵行,春申,3室2厅2卫,110㎡,南,8200元/月
整租·象屿名城 2室2厅 南,松江,九亭,2室2厅1卫,80㎡,南,5400元/月
整租·陈家宅小区(浦东大道) 1室0厅 南,浦东,金桥,1室0厅1卫,38㎡,南,3600元/月
整租·泰东新村(徐汇) 1室0厅 南,徐汇,徐家汇,1室0厅1卫,35㎡,南,5188元/月
整租·日晖二村 1室1厅 南,徐汇,斜土路,1室1厅1卫,32㎡,南,5000元/月
整租·田林十四村 1室0厅 南,徐汇,田林,1室0厅1卫,37㎡,南,4800元/月
整租·金杨一街坊 2室1厅 南,浦东,金杨,2室1厅1卫,77㎡,南,6400元/月
整租·南园新村 1室0厅 北,黄浦,打浦桥,1室0厅1卫,25㎡,北,4400元/月
整租·健安坊 2室1厅 南,徐汇,康健,2室1厅1卫,52㎡,南,6000元/月
整租·南丹小区 1室0厅 南,徐汇,徐家汇,1室0厅1卫,30㎡,南,4850元/月
整租·南丹小区 1室1厅 东南/南,徐汇,徐家汇,1室1厅1卫,37㎡,东南 南,4850元/月
整租·申峰大厦 1室2厅 南,徐汇,徐家汇,1室2厅1卫,65㎡,南,7988元/月
整租·乐山二村 1室1厅 东南,徐汇,徐家汇,1室1厅1卫,33㎡,东南,5300元/月
整租·万科假日风景(公寓) 2室1厅 南,闵行,莘庄,2室1厅1卫,90㎡,南,6000元/月
整租·万科假日风景(公寓) 3室2厅 南,闵行,莘庄,3室2厅2卫,126㎡,南,7800元/月
整租·光鸿苑 3室2厅 南/北,浦东,南码头,3室2厅1卫,98㎡,南 北,7800元/月
